part	man	module
0828707	PHOENIX CONTACT	PHOENIX CONTACT_2
0828853	PHOENIX CONTACT	PHOENIX CONTACT_2
0828871	PHOENIX CONTACT	PHOENIX CONTACT_2
0828880	PHOENIX CONTACT	PHOENIX CONTACT_2
0828886	PHOENIX CONTACT	PHOENIX CONTACT_2
0828890	PHOENIX CONTACT	PHOENIX CONTACT_2
0828898	PHOENIX CONTACT	PHOENIX CONTACT_2
0828903	PHOENIX CONTACT	PHOENIX CONTACT_2
0828985	PHOENIX CONTACT	PHOENIX CONTACT_2
0828986	PHOENIX CONTACT	PHOENIX CONTACT_2
0829182	PHOENIX CONTACT	PHOENIX CONTACT_2
0830433	PHOENIX CONTACT	PHOENIX CONTACT_2
0830605	PHOENIX CONTACT	PHOENIX CONTACT_2
0830782	PHOENIX CONTACT	PHOENIX CONTACT_2
087-1-016-0-F-XS0-1000	MPE-Garry GmbH	MPE Garry GmbH
088-2-088-0-T-XS0-0740	MPE-Garry GmbH	MPE Garry GmbH
08900-A0320X08	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
08900-A0910X12	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
08900-A1000X20	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
08920-A1000X15	norelem Normelemente GmbH & Co. KG	norelem Normelemente KG
08FHT-SM1-GAN-TF(HF)	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
08FHT-SM1-GAN-TF(HF)	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
08GX-6S	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
09 02 000 9902	HARTING Technology Group	Harting Technology Group_Rohs
09 03 000 6214	HARTING Technology Group	Harting Technology Group_Rohs
09 03 124 6901	HARTING Technology Group	Harting Technology Group_Rohs
09 03 164 2921 222	HARTING Technology Group	Harting Technology Group_Rohs
09 03 196 6951	HARTING Technology Group	Harting Technology Group_Rohs
09 03 296 6825 222	HARTING Technology Group	Harting Technology Group_Rohs
09 03 396 2919	HARTING Technology Group	Harting Technology Group_Rohs
09 03 396 7921	HARTING Technology Group	Harting Technology Group_Rohs
09 05 648 6931	HARTING Technology Group	Harting Technology Group_Rohs
09 06 000 8471	HARTING Technology Group	Harting Technology Group_Rohs
09 06 000 9912	HARTING Technology Group	Harting Technology Group_Rohs
09 06 000 9915	HARTING Technology Group	Harting Technology Group_Rohs
09 06 232 7823	HARTING Technology Group	Harting Technology Group_Rohs
09 08 000 7222	HARTING Technology Group	Harting Technology Group_Rohs
09 15 000 0301	HARTING Technology Group	Harting Technology Group_Rohs
09 16 072 3101	HARTING Technology Group	Harting Technology Group_Rohs
09 18 040 7010	HARTING Technology Group	Harting Technology Group_Rohs
09 18 150 9622	HARTING Technology Group	Harting Technology Group_Rohs
09 18 506 7901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 506 7902	HARTING Technology Group	Harting Technology Group_Rohs
09 18 506 7911	HARTING Technology Group	Harting Technology Group_Rohs
09 18 506 7912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 506 7921	HARTING Technology Group	Harting Technology Group_Rohs
09 18 506 7922	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 5803 58U	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 6321	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 6329	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 6901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 6923	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 6926	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 6927	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 7321	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 7803 58U	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 7902	HARTING Technology Group	Harting Technology Group_Rohs
09 18 510 7911	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5323	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5803	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5813 58U	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5911	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5913	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5922	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 5924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 6803 58U	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 6804	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 6901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 6922	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 6923	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 6924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 6926	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 7321	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 7329	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 7813 58U	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 7814	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 7901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 7921	HARTING Technology Group	Harting Technology Group_Rohs
09 18 514 7924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5322	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5323	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5329	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5813	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5911	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5913	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5914	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5921	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5922	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5923	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 5924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 6321	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 6924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 7902	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 7911	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 7921	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 7922	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 7923	HARTING Technology Group	Harting Technology Group_Rohs
09 18 516 7924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 5901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 5911	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 5912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 5924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 6324 001	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 6914	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 7914	HARTING Technology Group	Harting Technology Group_Rohs
09 18 520 7923	HARTING Technology Group	Harting Technology Group_Rohs
09 18 524 7904	HARTING Technology Group	Harting Technology Group_Rohs
09 18 526 5322	HARTING Technology Group	Harting Technology Group_Rohs
09 18 526 5912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 526 6329	HARTING Technology Group	Harting Technology Group_Rohs
09 18 526 6804	HARTING Technology Group	Harting Technology Group_Rohs
09 18 534 5803	HARTING Technology Group	Harting Technology Group_Rohs
09 18 534 6902	HARTING Technology Group	Harting Technology Group_Rohs
09 18 534 6914	HARTING Technology Group	Harting Technology Group_Rohs
09 18 534 7323	HARTING Technology Group	Harting Technology Group_Rohs
09 18 540 5902	HARTING Technology Group	Harting Technology Group_Rohs
09 18 540 5904	HARTING Technology Group	Harting Technology Group_Rohs
09 18 540 5912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 540 5924	HARTING Technology Group	Harting Technology Group_Rohs
09 18 540 7903	HARTING Technology Group	Harting Technology Group_Rohs
09 18 540 7912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 550 5803	HARTING Technology Group	Harting Technology Group_Rohs
09 18 550 5901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 550 5914	HARTING Technology Group	Harting Technology Group_Rohs
09 18 550 6923	HARTING Technology Group	Harting Technology Group_Rohs
09 18 550 7803	HARTING Technology Group	Harting Technology Group_Rohs
09 18 560 6904	HARTING Technology Group	Harting Technology Group_Rohs
09 18 560 6914	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 5324	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 5329	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 5803	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 5804	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 5813	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 5913	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6322	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6323	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6804	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6902	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6914	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6921	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6922	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 6923	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7322	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7329	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7803	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7804	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7814	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7901	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7902	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7912	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7913	HARTING Technology Group	Harting Technology Group_Rohs
09 18 564 7924	HARTING Technology Group	Harting Technology Group_Rohs
09 19 016 9643	HARTING Technology Group	Harting Technology Group_Rohs
09 19 506 6323	HARTING Technology Group	Harting Technology Group_Rohs
09 19 506 7323	HARTING Technology Group	Harting Technology Group_Rohs
09 19 510 5904	HARTING Technology Group	Harting Technology Group_Rohs
09 19 510 5914	HARTING Technology Group	Harting Technology Group_Rohs
09 19 510 6904	HARTING Technology Group	Harting Technology Group_Rohs
09 19 510 6914	HARTING Technology Group	Harting Technology Group_Rohs
09 19 510 7904	HARTING Technology Group	Harting Technology Group_Rohs
09 19 514 7904	HARTING Technology Group	Harting Technology Group_Rohs
09 19 516 5903	HARTING Technology Group	Harting Technology Group_Rohs
09 19 540 7904	HARTING Technology Group	Harting Technology Group_Rohs
09 19 560 6904	HARTING Technology Group	Harting Technology Group_Rohs
09 19 564 7904	HARTING Technology Group	Harting Technology Group_Rohs
09 27 132 6577	HARTING Technology Group	Harting Technology Group_Rohs
09 28 132 6903	HARTING Technology Group	Harting Technology Group_Rohs
09 28 132 6904	HARTING Technology Group	Harting Technology Group_Rohs
09 28 348 6903	HARTING Technology Group	Harting Technology Group_Rohs
09 29 130 6974	HARTING Technology Group	Harting Technology Group_Rohs
09 30 000 9802	HARTING Technology Group	Harting Technology Group_Rohs
09 30 000 9903	HARTING Technology Group	Harting Technology Group_Rohs
09 30 000 9966	HARTING Technology Group	Harting Technology Group_Rohs
09 30 000 9969	HARTING Technology Group	Harting Technology Group_Rohs
09 30 010 0532	HARTING Technology Group	Harting Technology Group_Rohs
09 30 016 0271	HARTING Technology Group	Harting Technology Group_Rohs
09 30 016 0440	HARTING Technology Group	Harting Technology Group_Rohs
09 30 024 0441	HARTING Technology Group	Harting Technology Group_Rohs
09 30 024 5436	HARTING Technology Group	Harting Technology Group_Rohs
09 30 032 0421	HARTING Technology Group	Harting Technology Group_Rohs
09 30 032 5420	HARTING Technology Group	Harting Technology Group_Rohs
