,Man,Modules,Running Status,Module Comment,old
110,Pletronics,Pletronics,Pending Data Team,"Site Updated, Wait New Simulation",
111,Red Lion Controls,Red Lion Controls_Approvals,Run by request,,
112,Rockwell Automation,Rockwell Automation_3,Pending Data Team,"Site Updated, Wait New Simulation",
113,Saint-Gobain,Saint-Gobain Abrasives,Pending Data Team,"Site Updated, Wait New Simulation",
114,Schneider Electric,Schneider Electric_Substitution,Pending Data Team,"Site Updated, Wait New Simulation",
115,Semtech,Semtech_CrossReference,Pending Data Team,Need new simulation,
116,Sensitron Semiconductor,Sensitron Semiconductor_CrossReference,Pending Data Team,"Site Updated, Wait New Simulation",
117,Sharp,Sharp_3,Pending Data Team,"Site Updated, Wait New Simulation",
118,Siemens,Siemens_RoHS,Pending Data Team,Wait Data Teams Action,
119,SiTime,SiTime_Scrub_Inv_PartNumberDecoder,Pending Data Team,"Sample Sent, Wait Approval",
120,SOURIAU,SOURIAU_CrossReference,Pending Data Team,Site Update need new simulation,
121,Stanley Engineered Fastening,Stanley Engineered Fastening_CrossReference,Pending Data Team,"Site Updated, Wait New Simulation",
122,Teledyne LeCroy,Teledyne LeCroy,Pending Data Team,"Sample Sent, Wait Approval",
123,"T-Global Technology Co., Ltd",T-Global Technology Co_Ltd,Regular Running,,
124,UN Semiconductor,UN Semiconductor,Pending Data Team,"Site Updated, Wait New Simulation",
125,Vishay Precision Group,Vishay Precision Group,Pending Data Team,site update and need new simulation,Run by request
126,W+P PRODUCTS GmbH,W+P PRODUCTS GmbH,Pending Data Team,Need new simulation,Run by request
127,Watlow Electric Manufacturing Company,Watlow Electric Manufacturing_Sc,Pending Data Team,"Site Updated, Wait New Simulation",
128,Xilinx,Xilinx,Pending Data Team,"Site Updated, Wait New Simulation",
129,Polytronics Technology Corp,Polytronics Technology,Stopped,"The search does not work, and all parts are not found",Regular Running
130,Power Dynamics,Power Dynamics,Stopped,site blocking,
131,Triad Magnetics,Triad Magnetics,Pending Production,------,
132,Marktech OptoElectronics,Marktech OptoElectronics,Proxy,,Regular Running
133,ASRock Inc,ASRock Inc,Proxy,,Regular Running
134,EVGA Corporation,EVGA Corporation,Proxy,,Regular Running
135,Weidmuller,Weidmuller_ROHS,Proxy,,Regular Running
136,SAURO s.r.l.,SAURO,Regular Running,,
137,Carr Lane Manufacturing,Carr Lane Manufacturing,Proxy,,Regular Running
138,Fair-Rite Products Corp,Fair-Rite Products,Proxy,,Regular Running
139,Atlas Copco,Atlas Copco,Proxy,Proxy,Regular Running
140,OmniVision Technologies,OmniVision Technologies,Proxy,------,Regular Running
141,SAB BROCKSKES GmbH & Co. KG,SAB BROCKSKES GmbH & Co. KG,Proxy,------,Regular Running
142,Schneider Electric,Schneider Electric_LC,Proxy,shadow root,Regular Running
143,SUMIDA CORPORATION,Sumida,Proxy,Proxy Issue,Regular Running
144,"Advanced Micro Devices, Inc.",Advanced Micro Devices_Inc,Proxy,,Regular Running
145,Nabeya Bi-tech Kaisha,NBK America LLC,Proxy,Bad Response,Regular Running
146,Good-Ark Semiconductor,Good-Ark Electronics,Proxy,,
147,Sensata Technologies,Sensata Technologies,Proxy,------,Regular Running
148,80/20 Inc,80_20 Inc,Proxy,---,
149,HAKKO Corporation,Hakko Corporation,Proxy,------,Regular Running
150,Kyocera,Kyocera,Proxy,,
151,"Super micro Computer, Inc",Super micro Computer_Inc,Proxy issue,,Regular Running
152,Ophir Optronics Solutions Ltd,Ophir Optronics Solutions Ltd,Proxy issue,------,Regular Running
153,Vemer S.p.A.,Vemer S.p.A.,Proxy issue,------,Regular Running
154,Anixter Inc,Anixter Inc,Proxy issue,,Regular Running
155,Labfacility,Labfacility,Proxy issue,------,Regular Running
156,ICP DAS,ICP DAS,Proxy issue,,Regular Running
157,VS Vision Systems GmbH,VS Vision Systems GmbH,Proxy issue,,Regular Running
158,Duratool,Duratool Company,Stopped,------,Run by request
159,Pro-Elec Company,Pro-Elec Company,Stopped,------,Run by request
160,Vero Technologies,Vero Technologies,Proxy issue,Proxy Issue,Run By Request
161,SECO-LARM U.S.A.,SECO-LARM U.S.A.,Proxy issue,,Regular Running
162,Excelitas Technologies Corp,Excelitas Technologies Corp,Proxy issue,Proxy issue,Regular Running
163,Eaton,Eaton_LC,Proxy issue,Proxy Issue,Regular Running
164,Schneider Electric,Schneider Electric_FR,Proxy issue,------,Run by request
165,Schneider Electric,Schneider Electric_PK,Proxy issue,------,Run By Request
166,Schneider Electric,Schneider Electric_UK,Proxy issue,------,Run By Request
167,Fabco-Air,Fabco-Air,Proxy issue,------,Regular Running
168,W.B. Jones Spring Co. Inc,W.B. Jones Spring Co. Inc,Proxy issue,------,Regular Running
169,Amphenol RF,Amphenol RF_RoHS,Proxy issue,------,Run By Request
170,Analog Devices,Analog Devices,Proxy issue,------,Run by request
171,Semtech,Semtech_Rel,Proxy issue,------,Run by request
172,BELIMO Automation AG,BELIMO Automation AG,Proxy issue,------,Regular Running
173,OptoSupply Limited,OptoSupply Limited,Proxy Issue,------,
174,"MEMSIC Semiconductor Co., Ltd",MEMSIC,Proxy issue,,
175,Winchester Interconnect Micro LLC,Ulti-Mate Connector,Proxy issue,DA-535,
176,Advanced Thermal Solutions,Advanced Thermal Solutions Inventory,Proxy issue,,
177,"ALPS ALPINE CO., LTD",ALPS Electric,Proxy issue,,
178,BEP Marine,BEP Marine,Proxy issue,,
179,BeStar Technologies,BeStar Technologies,Proxy issue,,
180,Conductix-Wampfler,Conductix-Wampfler,Proxy issue,,
181,Datacomm Cables,Datacomm Cables,Proxy issue,,
182,Diamond Systems Corporation,Diamond Systems Corporation,Proxy issue,,
183,"Dixon Valve & Coupling Company, LLC",Dixon Valve and Coupling,Proxy issue,DA-535,
184,ELESA S.p.A.,ELESA UK LTD,Proxy issue,,
185,ERIKS group,ERIKS group_Scrub_Inv1,Proxy issue,-----,
186,Fabrimex,Fabrimex,Proxy issue,,
187,FLEX LTD,FLEX LTD,Pending Data Team,Site Updates need new simulation,Regular Running
188,Intelligent Memory Limited,IM Intelligent Memory Limited,Proxy issue,,
189,International Components Corporation,International Components Corporation,Proxy issue,,
190,Knowles Precision Devices,Knowles Precision Devices,Proxy issue,Waiting Time,Run By Request
191,LEDIL OY,LEDIL OY,Proxy issue,,
192,Lyn-Tron,Lyn-Tron,Proxy issue,Proxy issue/Waiting Time,
193,MEDEWO GmbH,MEDEWO GmbH,Proxy issue,,Regular Running
194,Molex,Molex_CrossReference,Proxy issue,---,Run by request
195,"MORNSUN Guangzhou Science & Technology Co.,Ltd",MORNSUN Guangzhou Science & Technology Co_Ltd,Proxy Issue,,
196,NIC Components Corp,NIC Components_LC,Regular Running,,
197,NorComp,NorComp,Proxy issue,DA-535,
198,Northern Technologies Corp,Northern Technologies Corp,Proxy Issue,,
199,Pall Corporation,Pall Corporation,Proxy issue,DA-535,
200,PFLITSCH GmbH & Co. KG,PFLITSCH GmbH & Co. KG,Proxy issue,------,
201,PNY Technologies,PNY Technologies,Proxy Issue,------,
202,RS Components,RS Components,Proxy issue,,
203,SABIC,Saudi Basic Industries,Proxy issue,DA-535,
204,Silergy Corp,Silergy Corp,Proxy issue,,
205,Silicom Ltd,Silicom Ltd,Proxy issue,------,Regular Running
206,SK hynix Inc,SK hynix Inc,Proxy Issue,,Regular Running
207,Solid State Devices,Solid State Devices,Proxy issue,,
208,Waytek,Waytek,Proxy issue,,Regular Running
209,WernerCo,Werner Co,Proxy issue,------,Regular Running
210,Western Digital,Western Digital,Proxy issue,Waiting Time/Most of parts are not found,
211,The Timken Company,The Timken Company,Proxy Issue,Proxy Issue,
212,Lee Spring,Lee Spring,Proxy issue/SW Issue,waiting time issue,
213,Danfoss,Danfoss,Regular Running,,
214,Miller MMIC LLC,Miller MMIC LLC,Regular Running,,
215,HN Electronic Components GmbH & Co. KG,HN Electronic,Regular Running,,
216,"Brother Industries, Ltd",Brother International,Regular Running,,
217,"CONTA-CLIP, Inc",Conta-Clip,Regular Running,,
218,"H. A. Guden Co., Inc",Guden,Regular Running,,
219,pSemi Corporation,Peregrine Semiconductor,Regular Running,,
220,"Southwire Company, LLC",Southwire,Regular Running,,
221,Crouzet,Crouzet,Regular Running,,
222,Century Spring Corp,Century Spring Corp,Regular Running,,
223,DFRobot,DFRobot,Regular Running,,
224,EDSYN,EDSYN,Regular Running,,
225,Hager Group,Hager Group,Regular Running,,
226,HENNLICH GmbH & Co KG,HENNLICH GmbH & Co KG,Regular Running,,
227,Ideal Power,Ideal Power,Regular Running,,
228,LG Electronics,LG Electronics,Regular Running,,
229,Qosina,Qosina,Regular Running,,
230,RAJA Group Corporation,RAJA Group Corporation,Regular Running,,
231,"SYBA Multimedia, Inc",SYBA Multimedia,Regular Running,,
232,VDC Trading Limited,VDC Trading Limited,Regular Running,,
233,LILY BEARING,LILY BEARING,Regular Running,,
234,Mersen,Mersen,Regular Running,,
235,Rittal GmbH & Co. KG,Rittal Inc_2,Regular Running,,
236,Mountz Torque,Mountz Incorporated,Regular Running,,
237,SICK AG,SICK AG,Regular Running,,
238,FELLER AG,FELLER AG,Regular Running,Most of parts are not found,
239,Fujitsu,Fujitsu_LC,Regular Running,,
240,ITE Tech. Inc,ITE Tech. Inc,Regular Running,,
241,Onset Computer,Onset Computer,Regular Running,,
242,GigaDevice Semiconductor Inc,GigaDevice Semiconductor Inc,Regular Running,,
243,Abracon,Abracon_Data Sheet,Regular Running,,
244,B&K Precision,B&K Precision,Regular Running,,
245,Buerkert Fluid Control Systems,Burkert Fluid Control Systems,Regular Running,,
246,"Cincon Electronics Co., Ltd",Cincon,Regular Running,,
247,Khatod Optoelectronic,Khatod Optoelectronic,Regular Running,,
248,StarTech.com Ltd,Startech_2,Regular Running,,
249,Virginia Panel Corporation,Virginia Panel Corporation,Regular Running,,
250,MKS Instruments,MKS Instruments,Regular Running,,
251,Rittal GmbH & Co. KG,Rittal Corporation,Regular Running,,
252,"Campbell Fittings, Inc",Campbell Fittings_Inc,Regular Running,,
253,Moore Industries,Moore Industries,Regular Running,,
254,TENTE International,TENTE International,Regular Running,,
255,Maple Systems,Maple Systems,Regular Running,,
256,RAF Electronic Hardware,RAF Electronic Hardware,Regular Running,,
257,MISUMI Group,MISUMI Group,Regular Running,,
258,OnLogic,OnLogic,Regular Running,,
259,Boston Gear,Boston Gear,Regular Running,,
260,EAO,EAO,Regular Running,,
261,Hamamatsu Photonics K.K.,Hamamatsu,Regular Running,,
262,"K&J Magnetics, Inc",K&J Magnetics,Regular Running,,
263,Kipp Inc,Kipp Inc,Regular Running,,
264,New Elfin,New Elfin,Regular Running,,
265,SCS,SCS,Regular Running,,
266,"World Cord Sets, Inc",World Cord Sets_Inc,Regular Running,,
267,Zebra Technologies,Zebra Technologies,Regular Running,,
268,Integra Enclosures,Integra Enclosures,Regular Running,,
269,Keller & Kalmbach GmbH,Keller & Kalmbach GmbH,Regular Running,,
270,"Phyton, Inc","Phyton, Inc",Regular Running,,
271,SOURIAU,SOURIAU,Run By Request,,
272,wenglor sensoric gmbh,wenglor sensoric gmbh,Regular Running,,
273,Harwin,Harwin,Regular Running,,
274,"IDEAL INDUSTRIES, INC",IDEAL Industries,Regular Running,,
275,ABB,ABB Semiconductors AG,Regular Running,,
276,Pico Electronics,Pico Electronics,Regular Running,,
277,Realtek Semiconductor Corp,Realtek Semiconductor,Regular Running,,
278,WIZnet,WIZnet,Regular Running,,
279,ZSI-Foster,ZSI-Foster,Regular Running,,
280,BURNDY,BURNDY,Regular Running,,
281,nVent HOFFMAN,Hoffman,Regular Running,,
282,Hubbell Wiegmann,Hubbell Wiegmann,Regular Running,,
283,Micron Industries,Micron Industries,Regular Running,,
284,Trelleborg Sealing Solutions,Trelleborg Sealing Solutions,Regular Running,,
285,US Toyo Fan,U.S. Toyo Fan,Regular Running,,
286,BLOCK Transformatoren-Elektronik GmbH,Block Transformatoren-Elektronik GmbH_Co_KG,Regular Running,,
287,Elite Semiconductor Products,Elite Semiconductor Products,Regular Running,,
288,item Industrietechnik GmbH,item Industrietechnik GmbH,Regular Running,,
289,"Leviton Manufacturing Co., Inc",Leviton,Regular Running,,
290,Nordex,Nordex,Regular Running,,
291,Pfeiffer Vacuum,Pfeiffer Vacuum,Regular Running,,
292,WAGO GmbH & Co. KG,WAGO Kontakttechnik GmbH,Regular Running,,
293,Precision Technology Supplies,Precision Technology Supplies,Regular Running,,
294,ABL SURSUM,ABL SURSUM,Regular Running,,
295,Amphenol Pcd,Amphenol_PCD,Regular Running,,
296,Cembre S.p.A.,Cembre S.p.A.,Regular Running,,
297,HiFiBerry LLC,HiFiBerry LLC,Regular Running,,
298,Jonard Tools,Jonard Industries,Regular Running,,
299,LEMO,LEMO,Regular Running,,
300,Loos & Co. Inc,"Loos & Company, Inc",Regular Running,,
301,Minerallac Company,Minerallac Company,Regular Running,,
302,Erwin Halder KG,Erwin Halder KG,Regular Running,,
303,4D Systems,4D Systems,Regular Running,,
304,Blue Sea Systems,Blue Sea Systems,Regular Running,Wait Data Teams Action,
305,Opto Engineering,Opto Engineering,Regular Running,,
306,"Standex Electronics, Inc",Standex-Meder Electronics,Regular Running,,
307,Tai-Saw Technology,Tai-Saw Technology,Regular Running,,
308,u-blox,U-blox,Regular Running,,
309,SECOMP International AG,SECOMP International,Regular Running,,
310,SERTO AG,SERTO AG,Regular Running,,
311,Standard Wire & Cable,Standard Wire & Cable,Regular Running,,
312,StayOnline,Stay Online Corp,Regular Running,,
313,ams OSRAM,ams AG,Regular Running,,
314,ASRaymond,Associated Spring Raymond,Regular Running,------,
315,Baumer Electric AG,Baumer Electric,Regular Running,------,
316,CircuitMedic,CircuitMedic Corporation,Regular Running,------,
317,"Clippard Instrument Laboratory, Inc",Clippard Instrument Laboratory,Regular Running,------,
318,"Conquer Electronics Co., Ltd",Conquer Electronics,Regular Running,------,
319,Future Technology Devices International Limited,FTDI Chip,Regular Running,------,
320,DR. JOHANNES HEIDENHAIN GmbH,HEIDENHAIN,Regular Running,------,
321,Maedler Norm-Antrieb AG,MAeDLER GmbH,Regular Running,------,
322,"Mallory Sonalert Products, Inc",Mallory Sonalert Products,Regular Running,------,
323,"Marki Microwave, Inc",Marki Microwave,Regular Running,,
324,Metal Work S.p.A.,Metal Work Pneumatic,Regular Running,------,
325,NIDEC COMPONENTS CORPORATION,NIDEC Copal Electronics,Regular Running,------,
326,Pneumadyne,Pneumadyne,Regular Running,Proxy Issue,
327,reichelt elektronik GmbH,reichelt elektronik GmbH & Co. KG,Regular Running,------,
328,SKS Kontakttechnik GmbH,SKS Kontakttechnik,Regular Running,------,
329,Southco,Southco,Regular Running,,
330,TP-Link Corporation Limited,TP-LINK Technologies Co_Ltd,Regular Running,------,
331,Carrier Fire & Security EMEA BV,UTC Fire & Security,Regular Running,------,
332,3M,3M,Regular Running,Proxy Issue,
333,Aavid Thermalloy,Aavid Thermalloy,schedule running,,
334,Abaco Systems,Abaco Systems,Regular Running,------,
335,"ABB Installation Products, Inc",ABB Installation Products_Inc,Regular Running,------,
336,Abbatron,Abbatron,Regular Running,------,
337,ACE LEDS,AC Electronics,Regular Running,------,
338,Accurate Manufactured Products Group,Accurate Manufactured Products Group,Pending Data Team,Site Updates need new simulation,Regular Running
339,AccuStandard,AccuStandard,Regular Running,,
340,Ace Controls,Ace Controls,Regular Running,------,
341,ACEINNA,ACEINNA,Regular Running,------,
342,Acme Industrial Company,Acme Industrial Company,Regular Running,------,
343,Acopian Technical Company,Acopian,Regular Running,------,
344,Acroname Inc,Acroname Inc,Regular Running,------,
345,Adafruit Industries,Adafruit Industries,Regular Running,------,
346,Adels-Contact,Adels-Contact,Regular Running,------,
347,"ADLINK Technology, Inc",ADLINK Technology_Inc,Regular Running,------,
348,Adolf Wuerth GmbH & Co. KG,Adolf Wurth,Regular Running,------,
349,Advanced Antivibration Components,Advanced Antivibration Components,Regular Running,------,
350,"Advanced Cable Ties, Inc",Advanced Cable Ties_Inc,Regular Running,------,
351,Advanced Interconnections,Advanced Interconnections,Regular Running,------,
352,Advanced Motion Controls,Advanced Motion Controls,Regular Running,------,
353,Advanced Thermal Solutions,Advanced Thermal Solutions_LC,Regular Running,Proxy Issue,
354,Advantech,Advantech,Regular Running,,
355,Agilent Technologies,Agilent Technologies,Regular Running,------,
356,AGRO AG,AGRO AG,Regular Running,------,
357,AIC Inc,AIC Inc,Regular Running,------,
358,Aiconics,Aiconics,Regular Running,Proxy Issue,
359,Aignep s.p.a.,Aignep s.p.a,Regular Running,-----,
360,Aim and Thurlby Thandar Instruments,Aim and Thurlby Thandar Instruments,Regular Running,------,
361,Aimtec,Aimtec,Regular Running,------,
362,Airborn,Airborn,Regular Running,,
363,Aircraft Spruce and Specialty Co,Aircraft Spruce and Specialty Co,Regular Running,,
364,Akasa,Akasa,Regular Running,------,
365,Akiwa Tek,Akiwa Tek,Regular Running,------,
366,Albion Casters,Albion Casters,Regular Running,------,
367,Allegro MicroSystems,Allegro MicroSystems_ROHS,Regular Running,,
368,Alliance Memory,Alliance Memory,Regular Running,------,
369,Allied Moulded Products,Allied Moulded Products,Regular Running,------,
370,Allied Wire & Cable,Allied Wire & Cable,Regular Running,------,
371,"All-States, Inc",All-States_Inc,Regular Running,,
372,Alpha and Omega Semiconductor,Alpha & Omega Semiconductors,Regular Running,,
373,Alpha Novatech,Alpha Novatech,Regular Running,------,
374,Altronix Corporation,Altronix Corporation,Regular Running,------,
375,Alutronic Kuehlkoerper GmbH & Co. KG,Alutronic,Regular Running,------,
376,"Amazon.com, Inc",Amazon.com_Inc,Regular Running,,
377,"American Electrical, Inc",American Electrical,Regular Running,------,
378,American Metric,American Metric,Regular Running,------,
379,American Microsemiconductor,American Microsemiconductor,Regular Running,,
380,Ametherm,Ametherm,Regular Running,------,
381,Ampleon,Ampleon,Regular Running,------,
382,Analog Microelectronics GmbH,Analog Microelectronics GmbH,Regular Running,------,
383,Analog Power,Analog Power,Regular Running,------,
384,Analogix Semiconductor,Analogix Semiconductor,Regular Running,------,
385,Angst+Pfister Group,Angst+Pfister Group,Regular Running,Proxy Issue,
386,Anritsu,Anritsu,Regular Running,Proxy Issue,
387,ANSMANN AG,ANSMANN AG,Regular Running,,
388,"Anti-Seize Technology, Inc","Anti-Seize Technology, Inc",Regular Running,------,
389,"Apex Tool Group, LLC",Apex Tool Group_LLC,Regular Running,------,
390,Apple Rubber Products,Apple Rubber Products,Regular Running,------,
